year,month,day,hour,Prijs
2013,1,29,22,0.04603
2013,1,29,23,0.04244
2013,1,30,0,0.03276
2013,1,30,1,0.03167
2013,1,30,2,0.03293
2013,1,30,3,0.03183
2013,1,30,4,0.03061
2013,1,30,5,0.03357
2013,1,30,6,0.03366
2013,1,30,7,0.04591
2013,1,30,8,0.04994
2013,1,30,9,0.05978
2013,1,30,10,0.05243
2013,1,30,11,0.05032
2013,1,30,12,0.05625
2013,1,30,13,0.0556
2013,1,30,14,0.05
2013,1,30,15,0.04716
2013,1,30,16,0.04994
2013,1,30,17,0.05742
2013,1,30,18,0.0656
2013,1,30,19,0.05948
2013,1,30,20,0.06121
2013,1,30,21,0.05265
2013,1,30,22,0.04744
2013,1,30,23,0.04244
2013,1,31,0,0.04186
2013,1,31,1,0.03847
2013,1,31,2,0.03437
2013,1,31,3,0.03394
2013,1,31,4,0.0341
2013,1,31,5,0.03168
2013,1,31,6,0.03968
2013,1,31,7,0.05892
2013,1,31,8,0.07
2013,1,31,9,0.06
2013,1,31,10,0.06012
2013,1,31,11,0.0577
2013,1,31,12,0.05217
2013,1,31,13,0.05012
2013,1,31,14,0.04994
2013,1,31,15,0.04993
2013,1,31,16,0.04659
2013,1,31,17,0.04996
2013,1,31,18,0.05996
2013,1,31,19,0.05704
2013,1,31,20,0.04849
2013,1,31,21,0.04918
2013,1,31,22,0.05241
2013,1,31,23,0.04512
2013,2,1,0,0.04148
2013,2,1,1,0.03869
2013,2,1,2,0.03539
2013,2,1,3,0.03477
2013,2,1,4,0.03494
2013,2,1,5,0.03587
2013,2,1,6,0.03921
2013,2,1,7,0.0567
2013,2,1,8,0.05716
2013,2,1,9,0.06225
2013,2,1,10,0.06055
2013,2,1,11,0.07011
2013,2,1,12,0.06112
2013,2,1,13,0.05885
2013,2,1,14,0.05433
2013,2,1,15,0.05
2013,2,1,16,0.04754
2013,2,1,17,0.05999
2013,2,1,18,0.0776
2013,2,1,19,0.07357
2013,2,1,20,0.05938
2013,2,1,21,0.055
2013,2,1,22,0.05494
2013,2,1,23,0.05437
2013,2,2,0,0.05399
2013,2,2,1,0.04494
2013,2,2,2,0.03533
2013,2,2,3,0.03699
2013,2,2,4,0.03456
2013,2,2,5,0.03416
2013,2,2,6,0.03387
2013,2,2,7,0.03346
2013,2,2,8,0.04264
2013,2,2,9,0.05645
2013,2,2,10,0.05243
2013,2,2,11,0.05
2013,2,2,12,0.05
2013,2,2,13,0.04763
2013,2,2,14,0.045
2013,2,2,15,0.04493
2013,2,2,16,0.045
2013,2,2,17,0.05
2013,2,2,18,0.07001
2013,2,2,19,0.055
2013,2,2,20,0.04891
2013,2,2,21,0.04494
2013,2,2,22,0.04422
2013,2,2,23,0.04512
2013,2,3,0,0.0375
2013,2,3,1,0.03646
2013,2,3,2,0.03294
2013,2,3,3,0.03569
2013,2,3,4,0.03348
2013,2,3,5,0.03192
2013,2,3,6,0.03346
2013,2,3,7,0.03522
2013,2,3,8,0.03559
2013,2,3,9,0.03677
2013,2,3,10,0.04353
2013,2,3,11,0.045
2013,2,3,12,0.04743
2013,2,3,13,0.04387
2013,2,3,14,0.03717
2013,2,3,15,0.04
2013,2,3,16,0.03744
2013,2,3,17,0.04744
2013,2,3,18,0.06614
2013,2,3,19,0.06709
2013,2,3,20,0.05915
2013,2,3,21,0.04993
2013,2,3,22,0.04729
2013,2,3,23,0.04373
2013,2,4,0,0.04885
2013,2,4,1,0.04085
2013,2,4,2,0.03649
2013,2,4,3,0.03348
2013,2,4,4,0.03125
2013,2,4,5,0.0342
2013,2,4,6,0.04869
2013,2,4,7,0.0605
2013,2,4,8,0.06643
2013,2,4,9,0.06643
2013,2,4,10,0.0616
2013,2,4,11,0.06097
2013,2,4,12,0.0588
2013,2,4,13,0.0572
2013,2,4,14,0.0558
2013,2,4,15,0.04994
2013,2,4,16,0.04993
2013,2,4,17,0.05128
2013,2,4,18,0.07388
2013,2,4,19,0.07287
2013,2,4,20,0.05393
2013,2,4,21,0.04902
2013,2,4,22,0.05087
2013,2,4,23,0.04912
2013,2,5,0,0.04244
2013,2,5,1,0.04035
2013,2,5,2,0.03641
2013,2,5,3,0.03249
2013,2,5,4,0.03253
2013,2,5,5,0.03249
2013,2,5,6,0.03896
2013,2,5,7,0.05815
2013,2,5,8,0.05781
2013,2,5,9,0.05826
2013,2,5,10,0.06163
2013,2,5,11,0.06282
2013,2,5,12,0.05937
2013,2,5,13,0.05933
2013,2,5,14,0.05657
2013,2,5,15,0.04744
2013,2,5,16,0.04761
2013,2,5,17,0.05826
2013,2,5,18,0.06592
2013,2,5,19,0.05925
2013,2,5,20,0.05312
2013,2,5,21,0.05
2013,2,5,22,0.04983
2013,2,5,23,0.0482
2013,2,6,0,0.04494
2013,2,6,1,0.03994
2013,2,6,2,0.04071
2013,2,6,3,0.036
2013,2,6,4,0.03645
2013,2,6,5,0.04
2013,2,6,6,0.04496
2013,2,6,7,0.06
2013,2,6,8,0.06105
2013,2,6,9,0.05992
2013,2,6,10,0.05841
2013,2,6,11,0.05909
2013,2,6,12,0.05597
2013,2,6,13,0.05352
2013,2,6,14,0.04994
2013,2,6,15,0.04729
2013,2,6,16,0.04757
2013,2,6,17,0.0559
2013,2,6,18,0.05994
2013,2,6,19,0.05924
2013,2,6,20,0.05294
2013,2,6,21,0.04496
2013,2,6,22,0.05318
2013,2,6,23,0.04873
2013,2,7,0,0.05267
2013,2,7,1,0.04609
2013,2,7,2,0.03979
2013,2,7,3,0.03259
2013,2,7,4,0.03326
2013,2,7,5,0.03587
2013,2,7,6,0.04494
2013,2,7,7,0.05943
2013,2,7,8,0.05827
2013,2,7,9,0.05827
2013,2,7,10,0.05827
2013,2,7,11,0.05808
2013,2,7,12,0.05604
2013,2,7,13,0.05543
2013,2,7,14,0.05395
2013,2,7,15,0.05344
2013,2,7,16,0.05197
2013,2,7,17,0.05888
2013,2,7,18,0.0823
2013,2,7,19,0.07011
2013,2,7,20,0.06231
2013,2,7,21,0.06075
2013,2,7,22,0.05012
2013,2,7,23,0.05
2013,2,8,0,0.04904
2013,2,8,1,0.04706
2013,2,8,2,0.04394
2013,2,8,3,0.04111
2013,2,8,4,0.03934
2013,2,8,5,0.03895
2013,2,8,6,0.04584
2013,2,8,7,0.05882
2013,2,8,8,0.06194
2013,2,8,9,0.06492
2013,2,8,10,0.07023
2013,2,8,11,0.06492
2013,2,8,12,0.06127
2013,2,8,13,0.05436
2013,2,8,14,0.05197
2013,2,8,15,0.04698
2013,2,8,16,0.04695
2013,2,8,17,0.05715
2013,2,8,18,0.06966
2013,2,8,19,0.05875
2013,2,8,20,0.05436
2013,2,8,21,0.04933
2013,2,8,22,0.05493
2013,2,8,23,0.0538
2013,2,9,0,0.05
2013,2,9,1,0.05
2013,2,9,2,0.04994
2013,2,9,3,0.045
2013,2,9,4,0.0411
2013,2,9,5,0.04102
2013,2,9,6,0.04475
2013,2,9,7,0.05054
2013,2,9,8,0.04928
2013,2,9,9,0.05388
2013,2,9,10,0.05714
2013,2,9,11,0.05767
2013,2,9,12,0.05682
2013,2,9,13,0.05356
2013,2,9,14,0.05
2013,2,9,15,0.04588
2013,2,9,16,0.04426
2013,2,9,17,0.05076
2013,2,9,18,0.0745
2013,2,9,19,0.0781
2013,2,9,20,0.06319
2013,2,9,21,0.05319
2013,2,9,22,0.05651
